Gene ID	Gene Name	Design Element	g2_g1.p-value	g2_g1.t-statistic	g2_g1.log2foldchange
ENSG00000000003	TSPAN6	209108_at	0.62309046770703	0.785727039788709	0.2
ENSG00000000005	TNMD	220065_at	NA	2.17982390155414	0.2
ENSG00000000419	DPM1	202673_at	0.0337692577327593	-3.59514521576253	-1
ENSG00000000457	SCYL3	205607_s_at	NA	-0.89986561068178	-0.1
ENSG00000000460	C1orf112	220840_s_at	NA	2.57262354982987	0.1
ENSG00000000938	FGR	208438_s_at	0.152921874158116	2.25103525850971	0.2
ENSG00000000971	CFH	213800_at	0.69777092251448	0.634957191298562	0.2
ENSG00000001084	GCLC	202922_at	0.575944803470255	-0.884317907597385	-0.1
ENSG00000001167	NFYA	204108_at	0.52209660560055	1.00477465795894	0.1
ENSG00000001461	NIPAL3	214579_at	0.628022723591162	-0.77449008280668	-0.1
ENSG00000001497	LAS1L	208117_s_at	0.18872457446271	2.05786702305246	0.3
ENSG00000001561	ENPP4	204160_s_at	0.0796230050914509	-2.87761436617278	-0.5
ENSG00000001617	SEMA3F	35666_at	0.833919414069396	0.36539647226534	0.1
ENSG00000001626	CFTR	205043_at	NA	1.48857545543547	0.1
ENSG00000002016	RAD52	205647_at	0.152921874158116	2.25072777392281	0.3
ENSG00000002330	BAD	209364_at	0.911501848565031	-0.201642360749538	0
ENSG00000002549	LAP3	217933_s_at	0.957426521122295	-0.0988324004897523	0
ENSG00000002586	CD99	201029_s_at	0.225919012457099	1.8944413504853	0.3
ENSG00000002587	HS3ST1	205465_x_at	NA	1.74839725087792	0.2
ENSG00000002726	AOC1	203559_s_at	NA	1.49048772718189	0.1
ENSG00000002745	WNT16	221113_s_at	NA	2.08703365519157	0.1
ENSG00000002746	HECW1	215584_at	0.476233307883192	1.11715487847874	0.1
ENSG00000002834	LASP1	200618_at	NA	0.781985703477145	0.1
ENSG00000002919	SNX11	53912_at	NA	1.58192810369943	0.1
ENSG00000002933	TMEM176A	218345_at	0.0320122886567485	3.717851756644	0.4
ENSG00000003056	M6PR	200901_s_at	0.54869558592398	-0.941283354258375	-0.1
ENSG00000003137	CYP26B1	219825_at	0.251258256529895	-1.79396934956771	-0.5
ENSG00000003147	ICA1	210547_x_at	0.119330709354409	-2.47867288525186	-0.3
ENSG00000003249	DBNDD1	222234_s_at	NA	-0.113424668050626	0
ENSG00000003400	CASP10	210708_x_at	0.400196807135372	1.30530632039706	0.1
ENSG00000003402	CFLAR	211316_x_at	0.0141770419008606	4.45603783504767	0.5
ENSG00000003436	TFPI	210664_s_at	NA	1.73178474061979	0.1
ENSG00000003509	NDUFAF7	220943_s_at	NA	-0.240147100043092	0
ENSG00000003756	RBM5	201395_at	0.441603821513822	1.19786857701879	0.3
ENSG00000003987	MTMR7	215793_at	NA	-1.83503659868049	-0.1
ENSG00000003989	SLC7A2	207626_s_at	NA	0.0292525156883398	0
ENSG00000004139	SARM1	213257_at	NA	2.51075929664831	0.2
ENSG00000004142	POLDIP2	217806_s_at	NA	0.105089621953578	0
ENSG00000004399	PLXND1	38671_at	0.100056267417424	2.64778006222991	0.4
ENSG00000004455	AK2	212174_at	0.380896957864767	1.35556111950458	0.2
ENSG00000004468	CD38	205692_s_at	NA	1.7847755089793	0.1
ENSG00000004478	FKBP4	200895_s_at	0.457521743134686	1.16198690534509	0.2
ENSG00000004487	KDM1A	212348_s_at	0.988436950645087	0.0266538766300851	0
ENSG00000004534	RBM6	201967_at	0.0206022587126657	4.19354616377639	0.6
ENSG00000004700	RECQL	212918_at	0.950727407229668	0.11538150150841	0
ENSG00000004766	VPS50	207045_at	NA	1.28380492821063	0.1
ENSG00000004776	HSPB6	214767_s_at	0.604035378044268	0.825048007310258	0.1
ENSG00000004777	ARHGAP33	213827_at	0.926616769944079	0.165306177879514	0
ENSG00000004779	NDUFAB1	202077_at	0.0321291624896647	-3.70872686352552	-0.9
ENSG00000004799	PDK4	205960_at	NA	-0.661702226175007	0
ENSG00000004864	SLC25A13	203775_at	0.470524258470188	1.13013746155413	0.1
ENSG00000004866	ST7	207871_s_at	0.526449558519344	0.993948147551852	0.2
ENSG00000004897	CDC27	217878_s_at	0.255098289095606	-1.77841127719242	-0.3
ENSG00000004939	SLC4A1	205592_at	NA	0.842047377180659	0.1
ENSG00000004948	CALCR	207887_s_at	NA	2.36247581479338	0.2
ENSG00000004961	HCCS	203746_s_at	0.665074071146523	-0.6992471640269	-0.1
ENSG00000004975	DVL2	57532_at	0.0837362907283962	2.82319100276784	0.4
ENSG00000005001	PRSS22	205847_at	NA	-0.173697619038941	0
ENSG00000005007	UPF1	211168_s_at	0.264185334848412	1.74734653019346	0.4
ENSG00000005020	SKAP2	204362_at	0.627540879511716	-0.775718933698266	-0.2
ENSG00000005022	SLC25A5	200657_at	0.116059943862782	-2.50160496402375	-0.6
ENSG00000005059	MCUB	218802_at	NA	0.403281619923433	0
ENSG00000005073	HOXA11	213823_at	NA	0.685760257116282	0
ENSG00000005102	MEOX1	205619_s_at	NA	-0.122457885798828	0
ENSG00000005108	THSD7A	214920_at	0.387976393026655	-1.33612535532967	-0.4
ENSG00000005156	LIG3	207348_s_at	NA	0.0411526939441536	0
ENSG00000005175	RPAP3	218842_at	0.316317345651454	-1.55454681913638	-0.3
