Gene ID	Gene Name	Design Element	g2_g1.p-value	g2_g1.t-statistic	g2_g1.log2foldchange
ENSG00000000003	TSPAN6	209108_at	NA	-2.33666139165032	-0.5
ENSG00000000005	TNMD	220065_at	NA	1.73803189772074	0.2
ENSG00000000419	DPM1	202673_at	0.129576662536093	-3.06321630907377	-0.9
ENSG00000000971	CFH	213800_at	0.772056462293796	-0.368669892597925	-0.1
ENSG00000001084	GCLC	202922_at	NA	-1.11726630762784	-0.2
ENSG00000001167	NFYA	204109_s_at	NA	1.91947808055113	0.2
ENSG00000001561	ENPP4	204161_s_at	NA	-1.23200649763182	-0.2
ENSG00000001617	SEMA3F	35666_at	NA	2.73652426002816	0.5
ENSG00000001626	CFTR	205043_at	NA	0.318244715840486	0
ENSG00000002016	RAD52	205647_at	NA	-0.913203075878567	-0.1
ENSG00000002330	BAD	1861_at	NA	1.62717254560147	0.2
ENSG00000002549	LAP3	217933_s_at	0.129576662536093	-2.34050505241852	-1.1
ENSG00000002586	CD99	201029_s_at	0.129576662536093	-2.61649842084193	-0.9
ENSG00000002587	HS3ST1	205466_s_at	NA	-0.0944494749660551	0
ENSG00000002726	AOC1	203559_s_at	NA	0.85226700685069	0.1
ENSG00000002834	LASP1	200618_at	NA	-0.693823667721151	-0.1
ENSG00000002919	SNX11	53912_at	NA	1.34756972913306	0.1
ENSG00000002933	TMEM176A	218345_at	0.576178695562114	-0.683851426927595	-0.2
ENSG00000003056	M6PR	200901_s_at	NA	-1.8922368490599	-0.3
ENSG00000003137	CYP26B1	219825_at	NA	-0.768179675729206	-0.1
ENSG00000003147	ICA1	207949_s_at	NA	-0.730674619369058	-0.1
ENSG00000003400	CASP10	205467_at	NA	2.57740657053543	0.3
ENSG00000003402	CFLAR	211317_s_at	NA	0.19423775851014	0
ENSG00000003436	TFPI	209676_at	NA	1.75408935259161	0.2
ENSG00000003756	RBM5	201394_s_at	NA	-1.32807739222852	-0.4
ENSG00000003987	MTMR7	215793_at	NA	2.38195194431726	0.2
ENSG00000003989	SLC7A2	207626_s_at	NA	2.13783873385287	0.3
ENSG00000004468	CD38	205692_s_at	NA	1.85707633115513	0.4
ENSG00000004478	FKBP4	200895_s_at	NA	0.680099947037073	0.2
ENSG00000004534	RBM6	201967_at	NA	1.38297373695147	0.2
ENSG00000004779	NDUFAB1	202077_at	0.135466209071452	-2.19364192474062	-0.9
ENSG00000004799	PDK4	205960_at	NA	0.194343527189238	0
ENSG00000004864	SLC25A13	203775_at	NA	1.72968216607071	0.3
ENSG00000004866	ST7	207524_at	NA	2.45059607179924	0.4
ENSG00000004897	CDC27	217879_at	NA	-0.703001685066028	-0.2
ENSG00000004939	SLC4A1	205592_at	NA	1.76213735808924	0.2
ENSG00000004948	CALCR	207886_s_at	NA	2.28113297842291	0.2
ENSG00000004961	HCCS	203745_at	NA	-0.825619881911949	-0.2
ENSG00000004975	DVL2	57532_at	NA	1.60720412881157	0.3
ENSG00000005001	PRSS22	205847_at	NA	1.89278486003773	0.2
ENSG00000005007	UPF1	211168_s_at	NA	0.898409493893662	0.1
ENSG00000005020	SKAP2	204362_at	NA	0.243574874549683	0
ENSG00000005022	SLC25A5	200657_at	0.129576662536093	-2.92205199057165	-0.8
ENSG00000005073	HOXA11	208493_at	NA	1.16095681607258	0.1
ENSG00000005102	MEOX1	205619_s_at	NA	0.992699195832812	0.1
ENSG00000005156	LIG3	207348_s_at	NA	0.803375204518287	0.1
ENSG00000005187	ACSM3	210377_at	NA	2.1046897515363	0.2
ENSG00000005189	REXO5	208107_s_at	NA	1.57560101712811	0.2
ENSG00000005243	COPZ2	219561_at	NA	1.58482046089753	0.3
ENSG00000005249	PRKAR2B	203680_at	0.179597093702524	-1.78308596887344	-0.8
ENSG00000005302	MSL3	207551_s_at	NA	-1.75153542823411	-0.2
ENSG00000005339	CREBBP	202160_at	NA	-0.59434116982179	-0.1
ENSG00000005379	TSPOAP1	205839_s_at	NA	1.29524188788779	0.2
ENSG00000005381	MPO	203948_s_at	NA	-0.138266792157917	0
ENSG00000005421	PON1	206344_at	NA	1.47461555447725	0.2
ENSG00000005436	GCFC2	216305_s_at	NA	-0.85214928242509	-0.1
ENSG00000005469	CROT	204573_at	NA	1.59260824643802	0.2
ENSG00000005471	ABCB4	207819_s_at	NA	1.42327600876594	0.2
ENSG00000005801	ZNF195	204234_s_at	NA	-0.45533325521237	-0.1
ENSG00000005844	ITGAL	213475_s_at	NA	1.59587840908385	0.1
ENSG00000005882	PDK2	202590_s_at	NA	0.362201522563591	0.1
ENSG00000005889	ZFX	217176_s_at	NA	1.23450110990785	0.2
ENSG00000005893	LAMP2	200821_at	NA	-2.40341392719216	-0.6
ENSG00000005961	ITGA2B	206493_at	NA	1.44680444375288	0.3
ENSG00000005981	ASB4	208481_at	NA	2.80291012532339	0.3
ENSG00000006007	GDE1	202593_s_at	0.177153226542602	-1.7999437302033	-0.8
